volunteer_id,country,city,about_me,skills,help_directions,experience_level,preferred_tasks,task_format,availability,communication_languages,city_clean,format_clean,skills_clean,directions_clean,age,availability_hours_week,profile_completeness,volunteer_reliability_score,volunteer_cancel_rate,active_tasks_count,created_at,city_raw,format_raw,skills_raw,directions_raw,experience_raw
vol_00010,Россия,Пермь,"Хочет помогать в проектах, где нужен практический результат для людей или команды. Ближе всего направления: Миграция; основные навыки — Координация волонтёров, Медицина, Программирование.","Координация волонтёров, Медицина, Программирование, Исследования, Психология, аниматор, Фандрайзинг",Миграция,Начинающий,Миграция,Онлайн,До 4 часов в неделю,"Русский, Английский",Пермь,Онлайн,"Координация волонтёров, Медицина, Программирование, Исследования, Психология, аниматор, Фандрайзинг",Миграция,30,2,0.828,0.898,0.166,2,2025-11-29,ПЕРМЬ,Онлайн,"Координация волонтёров, Медицина, Программирование, Исследования, Психология, аниматор, Фандрайзинг",  мигранты  ,Начинающий
vol_00011,Россия,Воронеж,"Ориентируется на задачи, где можно применить коммуникациями и продвижением, организацией мероприятий, помощь новичкам. Комфортно взаимодействует с координатором и передаёт результат в понятном виде.","PR, Организация мероприятий, помощь новичкам","Животные, Культура и искусство",Начинающий,"Животные, Культура и искусство",Оффлайн,9–12 часов в неделю,"Русский, Английский",Воронеж,Оффлайн,"PR, Организация мероприятий, помощь новичкам",Животные|Культура и искусство,41,11,0.746,0.694,0.032,0,2026-03-30,ВОРОНЕЖ,Оффлайн,"PR, Организация мероприятий, помощь новичкам",животные | музеи,Начинающий
vol_00012,Россия,Волгоград,"Интересуется волонтёрскими задачами в городе Волгоград и онлайн-проектами, если формат это позволяет. Ближе всего темы: Кризисные ситуации.","бумаги, PR, Исследования, Юридические услуги",Кризисные ситуации,Начинающий,Кризисные ситуации,Онлайн,9–12 часов в неделю,"Русский, Английский",Волгоград,Онлайн,"бумаги, PR, Исследования, Юридические услуги",Кризисные ситуации,38,10,0.848,0.892,0.059,2,2025-07-08, Волгоград ,Онлайн,"бумаги, PR, Исследования, Юридические услуги",экстренная помощь,Начинающий
vol_00013,Россия,Нижний Новгород,"Готов(а) помогать НКО в формате «Онлайн». В работе важны понятные ожидания, регулярная связь с координатором и возможность увидеть результат помощи.","Организация мероприятий, Медицина, Юридические услуги, таргет","Экология, Культура и искусство, Люди без жилья",Начинающий,"Экология, Культура и искусство, Люди без жилья",Онлайн,5–8 часов в неделю,Русский,Нижний Новгород,Онлайн,"Организация мероприятий, Медицина, Юридические услуги, таргет",Экология|Культура и искусство|Люди без жилья,28,5,0.911,0.887,0.115,1,2025-10-11, Нижний Новгород ,Онлайн,"Организация мероприятий, Медицина, Юридические услуги, таргет",эко / искусство / бездомные,Начинающий
vol_00014,Россия,Москва,"Выбирает задачи, где пригодятся фото- и видеоматериалами, визуальными материалами, цифровыми инструментами. Интересны проекты по направлениям: Инклюзия, Животные.","Фото и видео, Дизайн, IT, Аналитика, SMM, Фандрайзинг, Копирайтинг","Инклюзия, Животные",Начинающий,"Инклюзия, Животные",Онлайн,5–8 часов в неделю,"Русский, Английский",Москва,Онлайн,"Фото и видео, Дизайн, IT, Аналитика, SMM, Фандрайзинг, Копирайтинг",Инклюзия|Животные,33,8,0.908,0.684,0.032,1,2025-08-21,  МОСКВА  ,Онлайн,"Фото и видео, Дизайн, IT, Аналитика, SMM, Фандрайзинг, Копирайтинг",люди с инвалидностью / помощь животным,Начинающий
vol_00015,Россия,Екатеринбург,"Сильнее всего мотивируют задачи с конкретным полезным результатом. Может помогать в направлениях: Животные; навыки — Медицина, Копирайтинг, Работа с детьми, Работа с документами.","Медицина, Копирайтинг, Работа с детьми, Работа с документами",Животные,Опытный,Животные,Онлайн,5–8 часов в неделю,"Русский, Английский",Екатеринбург,Онлайн,"Медицина, Копирайтинг, Работа с детьми, Работа с документами",Животные,39,7,0.76,0.5,0.079,0,2025-08-24,  ЕКАТЕРИНБУРГ  ,Онлайн,"Медицина, Копирайтинг, Работа с детьми, Работа с документами",приюты,Опытный
vol_00016,Россия,Екатеринбург,"Ищет первые проекты, где можно быть полезным команде и выполнить конкретный результат. Больше всего интересны проектах по направлению «Инклюзия». Сильные стороны — обучением и образовательными форматами, социальными сетями и контентом, фандрайзингом и партнёрскими коммуникациями.","Педагогика, SMM, Фандрайзинг, Юридические услуги, Исследования","Инклюзия, Образование",Начинающий,"Инклюзия, Образование",Смешанный,9–12 часов в неделю,"Русский, Английский",Екатеринбург,Смешанный,"Педагогика, SMM, Фандрайзинг, Юридические услуги, Исследования",Инклюзия|Образование,28,9,0.875,0.56,0.069,1,2025-12-03,Екатеринбург,Смешанный,"Педагогика, SMM, Фандрайзинг, Юридические услуги, Исследования","люди с инвалидностью,  образование",Начинающий
vol_00017,Россия,Санкт-Петербург,"Интересуется направлениями: Культура и искусство, Миграция. В задачах полезны навыки, связанные с юридическими и консультационными задачами, цифровыми инструментами. Предпочтительный формат участия — смешанный.","Юридические услуги, IT, coordination","Культура и искусство, Миграция, Кризисные ситуации, Люди без жилья",Начинающий,"Культура и искусство, Миграция, Кризисные ситуации",Смешанный,9–12 часов в неделю,"Русский, Английский",Санкт-Петербург,Смешанный,"Юридические услуги, IT, coordination",Культура и искусство|Миграция|Кризисные ситуации|Люди без жилья,19,9,0.573,0.809,0.07,0,2026-04-24,САНКТ-ПЕТЕРБУРГ,Смешанный,"Юридические услуги, IT, coordination",музеи | мигранты | чс | люди без жилья,Начинающий
vol_00018,Россия,Санкт-Петербург,"Хочет помогать в проектах, где нужен практический результат для людей или команды. Ближе всего направления: Здравоохранение, Люди без жилья; основные навыки — Наставничество, Фандрайзинг, Фото и видео.","Наставничество, Фандрайзинг, Фото и видео, коммуникации","Здравоохранение, Люди без жилья",Эксперт,"Здравоохранение, Люди без жилья",Оффлайн,9–12 часов в неделю,Русский,Санкт-Петербург,Оффлайн,"Наставничество, Фандрайзинг, Фото и видео, коммуникации",Здравоохранение|Люди без жилья,40,10,0.841,0.841,0.014,2,2026-04-19, Санкт-Петербург ,Оффлайн,"Наставничество, Фандрайзинг, Фото и видео, коммуникации",медицина | ночлежка,ЭКСПЕРТ
vol_00019,Россия,Новосибирск,"Ориентируется на задачи, где можно применить архив, переводами и адаптацией текстов, коммуникациями и продвижением. Комфортно взаимодействует с координатором и передаёт результат в понятном виде.","архив, Переводы, PR, Медицина","Здравоохранение, Инклюзия, Люди без жилья",Опытный,"Здравоохранение, Инклюзия, Люди без жилья",Онлайн,9–12 часов в неделю,"Русский, Английский",Новосибирск,Онлайн,"архив, Переводы, PR, Медицина",Здравоохранение|Инклюзия|Люди без жилья,35,10,0.96,0.636,0.052,2,2026-03-19,НОВОСИБИРСК,Онлайн,"архив, Переводы, PR, Медицина","медицина, инклюзия, бездомные",Опытный
vol_00020,Россия,Москва,"Интересуется волонтёрскими задачами в городе Москва и онлайн-проектами, если формат это позволяет. Ближе всего темы: Здравоохранение, Кризисные ситуации.","Работа с детьми, Наставничество, Медицина, IT","Здравоохранение, Кризисные ситуации",Начинающий,"Здравоохранение, Кризисные ситуации",Онлайн,13–17 часов в неделю,"Русский, Английский",Москва,Онлайн,"Работа с детьми, Наставничество, Медицина, IT",Здравоохранение|Кризисные ситуации,37,13,1.0,0.865,0.035,2,2025-09-25, Москва ,Онлайн,"Работа с детьми, Наставничество, Медицина, IT",  медицина / кризисные ситуации  ,НАЧИНАЮЩИЙ
vol_00021,Россия,Омск,"Готов(а) помогать НКО в формате «Онлайн». В работе важны понятные ожидания, регулярная связь с координатором и возможность увидеть результат помощи.","Работа с документами, Организация мероприятий, IT",Животные,Начинающий,Животные,Онлайн,5–8 часов в неделю,"Русский, Английский",Омск,Онлайн,"Работа с документами, Организация мероприятий, IT",Животные,24,6,0.879,0.699,0.013,1,2025-12-17,Омск,Онлайн,"Работа с документами, Организация мероприятий, IT",животные,Начинающий
vol_00022,Россия,Москва,"Выбирает задачи, где пригодятся социальными сетями и контентом, организацией мероприятий, медицинскими и профилактическими инициативами. Интересны проекты по направлениям: Дети и молодёжь, Животные.","SMM, Организация мероприятий, Медицина, бумаги, Дизайн","Дети и молодёжь, Животные, Социальная помощь, Культура и искусство",Эксперт,"Дети и молодёжь, Животные, Социальная помощь",Оффлайн,9–12 часов в неделю,"Русский, Английский",Москва,Оффлайн,"SMM, Организация мероприятий, Медицина, бумаги, Дизайн",Дети и молодёжь|Животные|Социальная помощь|Культура и искусство,18,9,0.764,0.73,0.221,2,2026-03-24, Москва ,Оффлайн,"SMM, Организация мероприятий, Медицина, бумаги, Дизайн","дети и молодёжь, животные, соц помощь, музеи",Эксперт
vol_00023,Россия,Красноярск,"Сильнее всего мотивируют задачи с конкретным полезным результатом. Может помогать в направлениях: Инклюзия; навыки — Наставничество, Фото и видео.","Наставничество, Фото и видео",Инклюзия,Начинающий,Инклюзия,Смешанный,5–8 часов в неделю,Русский,Красноярск,Смешанный,"Наставничество, Фото и видео",Инклюзия,38,6,0.665,0.881,0.021,1,2025-11-11, КРАСНОЯРСК ,Смешанный,"Наставничество, Фото и видео",инклюзия,Начинающий
vol_00024,Россия,Казань,"Хочет начать волонтёрскую практику с понятных задач и постепенно набирать опыт. Больше всего интересны правозащитных и консультационных инициативах. Сильные стороны — координацией волонтёрских команд, визуальными материалами, переводами и адаптацией текстов.","Координация волонтёров, Дизайн, Переводы, Фото и видео","Правозащита, Сельские территории, Инклюзия",Начинающий,"Правозащита, Сельские территории, Инклюзия",Онлайн,5–8 часов в неделю,"Русский, Английский",Казань,Онлайн,"Координация волонтёров, Дизайн, Переводы, Фото и видео",Правозащита|Сельские территории|Инклюзия,28,8,0.563,0.557,0.033,2,2026-02-14, Казань ,Онлайн,"Координация волонтёров, Дизайн, Переводы, Фото и видео","права человека,  малые города,  доступная среда",Начинающий
vol_00025,Россия,Санкт-Петербург,"Интересуется направлениями: Кризисные ситуации, Культура и искусство. В задачах полезны навыки, связанные с координацией волонтёрских команд, бумаги. Предпочтительный формат участия — онлайн.","Координация волонтёров, бумаги","Кризисные ситуации, Культура и искусство, Здравоохранение",Опытный,"Кризисные ситуации, Культура и искусство, Здравоохранение",Онлайн,9–12 часов в неделю,"Русский, Английский",Санкт-Петербург,Онлайн,"Координация волонтёров, бумаги",Кризисные ситуации|Культура и искусство|Здравоохранение,20,9,1.0,0.727,0.063,0,2026-05-10, Санкт-Петербург ,Онлайн,"Координация волонтёров, бумаги","кризисные ситуации,  культура,  медицина",ОПЫТНЫЙ
vol_00026,Россия,Омск,"Хочет помогать в проектах, где нужен практический результат для людей или команды. Ближе всего направления: Социальная помощь, Инклюзия; основные навыки — Фото и видео, Педагогика, SMM.","Фото и видео, Педагогика, SMM, Работа с детьми, IT","Социальная помощь, Инклюзия, Спорт и ЗОЖ, Здравоохранение, Помощь пожилым",Начинающий,"Социальная помощь, Инклюзия, Спорт и ЗОЖ",Онлайн,9–12 часов в неделю,"Русский, Английский",Омск,Онлайн,"Фото и видео, Педагогика, SMM, Работа с детьми, IT",Социальная помощь|Инклюзия|Спорт и ЗОЖ|Здравоохранение|Помощь пожилым,41,10,0.768,0.821,0.022,1,2025-09-06, Омск ,Онлайн,"Фото и видео, Педагогика, SMM, Работа с детьми, IT","  соц помощь,  люди с инвалидностью,  зож,  медицина,  помощь пожилым  ",НАЧИНАЮЩИЙ
vol_00027,Россия,Москва,"Ориентируется на задачи, где можно применить фото- и видеоматериалами, коммуникацией с людьми и командами, текстами и описаниями. Комфортно взаимодействует с координатором и передаёт результат в понятном виде.","Фото и видео, Коммуникация, Копирайтинг, PR, Программирование, чат-боты","Миграция, Экология, Инклюзия",Опытный,"Миграция, Экология, Инклюзия",Оффлайн,9–12 часов в неделю,"Русский, Английский",Москва,Оффлайн,"Фото и видео, Коммуникация, Копирайтинг, PR, Программирование, чат-боты",Миграция|Экология|Инклюзия,18,12,1.0,0.785,0.01,0,2025-08-22, Москва ,Оффлайн,"Фото и видео, Коммуникация, Копирайтинг, PR, Программирование, чат-боты",  мигранты | эко | доступная среда  ,Опытный
vol_00028,Россия,Санкт-Петербург,"Интересуется волонтёрскими задачами в городе Санкт-Петербург и онлайн-проектами, если формат это позволяет. Ближе всего темы: Животные, Дети и молодёжь.","Медицина, Переводы, Работа с детьми, бумаги, Аналитика, Исследования","Животные, Дети и молодёжь, Сельские территории, Спорт и ЗОЖ",Начинающий,"Животные, Дети и молодёжь, Сельские территории",Оффлайн,5–8 часов в неделю,"Русский, Английский",Санкт-Петербург,Оффлайн,"Медицина, Переводы, Работа с детьми, бумаги, Аналитика, Исследования",Животные|Дети и молодёжь|Сельские территории|Спорт и ЗОЖ,33,8,0.733,0.733,0.025,3,2025-09-27,Санкт-Петербург,Оффлайн,"Медицина, Переводы, Работа с детьми, бумаги, Аналитика, Исследования",животные; дети и молодёжь; малые города; здоровый образ жизни,Начинающий
vol_00029,Россия,Новосибирск,"Готов(а) помогать НКО в формате «Оффлайн». В работе важны понятные ожидания, регулярная связь с координатором и возможность увидеть результат помощи.","Исследования, Коммуникация, Программирование, Фото и видео, Аналитика","Здравоохранение, Кризисные ситуации",Опытный,"Здравоохранение, Кризисные ситуации",Оффлайн,9–12 часов в неделю,"Русский, Английский",Новосибирск,Оффлайн,"Исследования, Коммуникация, Программирование, Фото и видео, Аналитика",Здравоохранение|Кризисные ситуации,35,9,0.704,0.805,0.202,0,2025-12-13,НОВОСИБИРСК,Оффлайн,"Исследования, Коммуникация, Программирование, Фото и видео, Аналитика",здоровье / чс,Опытный
vol_00030,Россия,Самара,"Выбирает задачи, где пригодятся переводами и адаптацией текстов, обучением и образовательными форматами. Интересны проекты по направлениям: Культура и искусство, Дети и молодёжь.","Переводы, Педагогика","Культура и искусство, Дети и молодёжь",Опытный,"Культура и искусство, Дети и молодёжь",Онлайн,5–8 часов в неделю,"Русский, Английский",Самара,Онлайн,"Переводы, Педагогика",Культура и искусство|Дети и молодёжь,24,8,0.899,0.708,0.026,1,2026-04-03, САМАРА ,Онлайн,"Переводы, Педагогика","культура,  дети",Опытный
vol_00031,Россия,Москва,"Сильнее всего мотивируют задачи с конкретным полезным результатом. Может помогать в направлениях: Социальная помощь; навыки — Копирайтинг, Координация волонтёров, Психология.","Копирайтинг, Координация волонтёров, Психология",Социальная помощь,Начинающий,Социальная помощь,Онлайн,До 4 часов в неделю,Русский,Москва,Онлайн,"Копирайтинг, Координация волонтёров, Психология",Социальная помощь,36,4,0.886,0.562,0.095,0,2025-08-10, МОСКВА ,Онлайн,"Копирайтинг, Координация волонтёров, Психология",соц помощь,Начинающий
vol_00032,Россия,Челябинск,"Комфортно включается в работу НКО и помогает доводить задачи до результата. Больше всего интересны образовательных и просветительских проектах. Сильные стороны — юридическими и консультационными задачами, коммуникациями и продвижением, чат-боты.","Юридические услуги, PR, чат-боты",Образование,Опытный,Образование,Онлайн,9–12 часов в неделю,"Русский, Английский",Челябинск,Онлайн,"Юридические услуги, PR, чат-боты",Образование,36,9,0.676,0.935,0.1,0,2026-01-12, Челябинск ,Онлайн,"Юридические услуги, PR, чат-боты",обучение,Опытный
vol_00033,Россия,Казань,"Интересуется направлениями: Кризисные ситуации, Здравоохранение. В задачах полезны навыки, связанные с текстами и описаниями, детскими и образовательными активностями. Предпочтительный формат участия — смешанный.","Копирайтинг, coordination, Работа с детьми","Кризисные ситуации, Здравоохранение, Экология",Начинающий,"Кризисные ситуации, Здравоохранение, Экология",Смешанный,5–8 часов в неделю,Русский,Казань,Смешанный,"Копирайтинг, coordination, Работа с детьми",Кризисные ситуации|Здравоохранение|Экология,20,6,0.622,0.705,0.056,0,2026-02-25,Казань,Смешанный,"Копирайтинг, coordination, Работа с детьми","кризисные ситуации, здравоохранение, экология",Начинающий
vol_00034,Россия,Воронеж,"Хочет помогать в проектах, где нужен практический результат для людей или команды. Ближе всего направления: Дети и молодёжь, Спорт и ЗОЖ; основные навыки — Переводы, IT, Педагогика.","Переводы, IT, Педагогика, Организация мероприятий, sql","Дети и молодёжь, Спорт и ЗОЖ, Инклюзия, Здравоохранение",Начинающий,"Дети и молодёжь, Спорт и ЗОЖ, Инклюзия",Онлайн,До 4 часов в неделю,"Русский, Английский",Воронеж,Онлайн,"Переводы, IT, Педагогика, Организация мероприятий, sql",Дети и молодёжь|Спорт и ЗОЖ|Инклюзия|Здравоохранение,30,1,0.767,0.596,0.037,1,2025-05-15,ВОРОНЕЖ,Онлайн,"Переводы, IT, Педагогика, Организация мероприятий, sql",  молодежь / здоровый образ жизни / люди с инвалидностью / здоровье  ,Начинающий
vol_00035,Россия,Москва,"Ориентируется на задачи, где можно применить цифровыми инструментами. Комфортно взаимодействует с координатором и передаёт результат в понятном виде.",IT,Животные,Начинающий,Животные,Онлайн,9–12 часов в неделю,"Русский, Английский",Москва,Онлайн,IT,Животные,30,12,0.811,0.894,0.083,0,2026-04-01,Москва,Онлайн,IT,помощь животным,Начинающий
vol_00036,Россия,Нижний Новгород,"Интересуется волонтёрскими задачами в городе Нижний Новгород и онлайн-проектами, если формат это позволяет. Ближе всего темы: Инклюзия, Дети и молодёжь.","Работа с документами, Переводы, Фандрайзинг, Медицина","Инклюзия, Дети и молодёжь, Люди без жилья, Здравоохранение",Опытный,"Инклюзия, Дети и молодёжь, Люди без жилья",Онлайн,До 4 часов в неделю,"Русский, Английский",Нижний Новгород,Онлайн,"Работа с документами, Переводы, Фандрайзинг, Медицина",Инклюзия|Дети и молодёжь|Люди без жилья|Здравоохранение,33,1,0.665,0.755,0.09,0,2025-12-02, Нижний Новгород ,Онлайн,"Работа с документами, Переводы, Фандрайзинг, Медицина",доступная среда / дети / люди без жилья / здоровье,Опытный
vol_00037,Россия,Санкт-Петербург,"Готов(а) помогать НКО в формате «Оффлайн». В работе важны понятные ожидания, регулярная связь с координатором и возможность увидеть результат помощи.","Организация мероприятий, Юридические услуги","Сельские территории, Образование, Социальная помощь, Правозащита, Здравоохранение",Опытный,"Сельские территории, Образование, Социальная помощь",Оффлайн,До 4 часов в неделю,"Русский, Английский, Немецкий",Санкт-Петербург,Оффлайн,"Организация мероприятий, Юридические услуги",Сельские территории|Образование|Социальная помощь|Правозащита|Здравоохранение,27,1,0.692,0.684,0.071,0,2025-08-17,Санкт-Петербург,Оффлайн,"Организация мероприятий, Юридические услуги",сельские территории | образование | соц помощь | юридическая помощь | медицина,Опытный
