ngo_id,ngo_name,ngo_city_raw,ngo_city_clean,org_type,avg_response_time_hours,ngo_reliability_score,complaint_rate,active_tasks_count
ngo_0054,АНО «Мост доверия», Волгоград ,Волгоград,Некоммерческая организация,10,0.9,0.032,4
ngo_0055,Фонд «Старость в почёте», Екатеринбург ,Екатеринбург,Благотворительный фонд,7,0.67,0.014,0
ngo_0056,Волонтёрский центр «Добровольцы Крыма», Москва ,Москва,Волонтёрский центр,13,0.706,0.018,2
ngo_0057,Центр добровольчества «Самарские добровольцы»,Москва,Москва,Волонтёрский центр,10,0.761,0.017,0
ngo_0058,Центр добровольчества «Здесь помогут»,МОСКВА,Москва,Волонтёрский центр,6,0.936,0.102,4
ngo_0059,Образовательный центр «Доступная наука», Воронеж ,Воронеж,Образовательный проект,8,0.486,0.045,2
ngo_0060,Образовательный проект «Язык доброты»,РОСТОВ-НА-ДОНУ,Ростов-на-Дону,Образовательный проект,10,0.757,0.014,1
ngo_0061,Социальная инициатива «Бесплатный репетитор»,МОСКВА,Москва,Социальная инициатива,16,0.812,0.019,2
ngo_0062,АНО «Навигатор добра»,Москва,Москва,Некоммерческая организация,3,0.75,0.035,4
ngo_0063,Волонтёрский центр «Дальневосточное добро», МОСКВА ,Москва,Волонтёрский центр,9,0.905,0.006,2
ngo_0064,АНО «Шаг вперёд»,Челябинск,Челябинск,Некоммерческая организация,4,0.739,0.144,3
ngo_0065,АНО «Полезное действие»,Екатеринбург,Екатеринбург,Некоммерческая организация,13,0.671,0.105,3
ngo_0066,АНО «Третий сектор», ЧЕЛЯБИНСК ,Челябинск,Некоммерческая организация,11,0.83,0.052,3
ngo_0067,Благотворительный фонд «Лучший день», КАЗАНЬ ,Казань,Благотворительный фонд,19,0.93,0.058,4
ngo_0068,Благотворительный фонд «Живые истории»,МОСКВА,Москва,Благотворительный фонд,6,0.666,0.136,4
ngo_0069,Центр добровольчества «Архангельские волонтёры»,  МОСКВА  ,Москва,Волонтёрский центр,4,0.917,0.057,3
ngo_0070,Инициатива «Социальный магазин», Санкт-Петербург ,Санкт-Петербург,Социальная инициатива,18,0.939,0.207,3
ngo_0071,АНО «Сила участия»,ВОРОНЕЖ,Воронеж,Некоммерческая организация,4,0.814,0.024,3
ngo_0072,Инициатива «Местный медиатор», Москва ,Москва,Социальная инициатива,12,0.695,0.141,3
ngo_0073,АНО «Гражданская поддержка»,МОСКВА,Москва,Некоммерческая организация,19,0.861,0.016,9
ngo_0074,АНО «Честный город», Красноярск ,Красноярск,Некоммерческая организация,5,0.824,0.091,0
ngo_0075,Образовательная инициатива «Мой выбор»,Санкт-Петербург,Санкт-Петербург,Образовательный проект,13,0.806,0.223,4
ngo_0076,Благотворительный фонд «Маленький принц»,Пермь,Пермь,Благотворительный фонд,7,0.798,0.081,0
ngo_0077,Инициатива «Гуманитарная связь», Уфа ,Уфа,Социальная инициатива,23,0.707,0.064,3
ngo_0078,Фонд «Доступная жизнь»,Москва,Москва,Благотворительный фонд,13,0.876,0.076,4
ngo_0079,Центр добровольчества «Уральские волонтёры»,Москва,Москва,Волонтёрский центр,7,0.788,0.074,3
ngo_0080,Центр добровольчества «Балтийские волонтёры», ПЕРМЬ ,Пермь,Волонтёрский центр,11,0.814,0.029,3
ngo_0081,Благотворительный фонд «Добрый след»,Новосибирск,Новосибирск,Благотворительный фонд,5,0.713,0.007,1
ngo_0082,Инициатива «Безопасный маршрут»,Новосибирск,Новосибирск,Социальная инициатива,38,0.834,0.064,1
ngo_0083,АНО «Дом возможностей»,Санкт-Петербург,Санкт-Петербург,Некоммерческая организация,5,0.823,0.176,1
ngo_0084,Инициатива «Чистые берега»,Нижний Новгород,Нижний Новгород,Социальная инициатива,6,0.852,0.105,3
ngo_0085,Социальная инициатива «Ночная смена»,МОСКВА,Москва,Социальная инициатива,6,0.916,0.039,4
ngo_0086,Волонтёрский центр «Белгородское добровольчество»,НИЖНИЙ НОВГОРОД,Нижний Новгород,Волонтёрский центр,6,0.951,0.244,4
ngo_0087,Фонд «Право на образование», Казань ,Казань,Благотворительный фонд,4,0.844,0.031,1
ngo_0088,АНО «Здесь и сейчас»,Волгоград,Волгоград,Некоммерческая организация,8,0.851,0.106,4
ngo_0089,АНО «Инклюзивное пространство», Омск ,Омск,Некоммерческая организация,12,0.659,0.067,1
ngo_extra_0000,Инициатива «Город без барьеров»,Самара,Самара,Социальная инициатива,12,0.86,0.01,5
ngo_extra_0001,Социальная инициатива «Трезвое завтра»,Челябинск,Челябинск,Социальная инициатива,14,0.933,0.093,6
ngo_extra_0002,АНО «Новый старт»,Уфа,Уфа,Некоммерческая организация,15,0.817,0.019,1
ngo_extra_0003,Просветительский проект «Первая помощь», КАЗАНЬ ,Казань,Образовательный проект,6,0.924,0.089,7
ngo_extra_0004,Волонтёрский центр «Оренбургские добровольцы»,Омск,Омск,Волонтёрский центр,7,0.638,0.021,8
ngo_extra_0005,АНО «Гражданская инициатива»,Москва,Москва,Некоммерческая организация,15,0.834,0.1,7
ngo_extra_0006,Просветительский проект «Семья и право»,Волгоград,Волгоград,Образовательный проект,8,0.635,0.051,4
ngo_extra_0007,Образовательный центр «Успех каждого»,Воронеж,Воронеж,Образовательный проект,7,0.817,0.051,6
ngo_extra_0008,Фонд «Право на семью», ЕКАТЕРИНБУРГ ,Екатеринбург,Благотворительный фонд,4,0.906,0.101,3
ngo_extra_0009,АНО «Доброе намерение»,Воронеж,Воронеж,Некоммерческая организация,5,0.84,0.025,5
ngo_extra_0010,Благотворительный фонд «Руки помощи»,Красноярск,Красноярск,Благотворительный фонд,14,0.747,0.043,5
ngo_extra_0011,Социальная инициатива «Антикризисный штаб»,Самара,Самара,Социальная инициатива,15,0.75,0.035,3
ngo_extra_0012,Фонд помощи «Дети в беде», НОВОСИБИРСК ,Новосибирск,Благотворительный фонд,10,0.679,0.135,6
ngo_extra_0013,Образовательная инициатива «Мы и общество»,Нижний Новгород,Нижний Новгород,Образовательный проект,37,0.902,0.028,6
ngo_extra_0014,Центр добровольчества «Вологодские волонтёры»,Ростов-на-Дону,Ростов-на-Дону,Волонтёрский центр,8,0.877,0.056,3
ngo_extra_0015,Благотворительный фонд «Активное долголетие», НОВОСИБИРСК ,Новосибирск,Благотворительный фонд,9,0.99,0.066,4
ngo_extra_0016,Просветительский проект «Право на город», КАЗАНЬ ,Казань,Образовательный проект,6,0.757,0.052,5
ngo_extra_0017,Волонтёрский центр «Тульское добровольчество»,Воронеж,Воронеж,Волонтёрский центр,7,0.919,0.165,7
ngo_extra_0018,Волонтёрский центр «Нижегородские добровольцы»,Волгоград,Волгоград,Волонтёрский центр,14,0.848,0.136,2
ngo_extra_0019,Социальная инициатива «Добрый двор»,Самара,Самара,Социальная инициатива,15,0.668,0.069,3
ngo_extra_0020,Просветительский центр «Открытый класс», КАЗАНЬ ,Казань,Образовательный проект,4,0.737,0.048,7
ngo_extra_0021,Социальная инициатива «Мобильная аптека»,Самара,Самара,Социальная инициатива,7,0.731,0.042,0
ngo_extra_0022,Инициатива «Помощь после выхода»,Самара,Самара,Социальная инициатива,8,0.839,0.055,0
ngo_extra_0023,АНО «Социальный капитал», САНКТ-ПЕТЕРБУРГ ,Санкт-Петербург,Некоммерческая организация,19,0.926,0.019,6
ngo_extra_0024,Социальная инициатива «Живой огород»,Красноярск,Красноярск,Социальная инициатива,9,0.768,0.008,1
ngo_extra_0025,Образовательный проект «Умный город», КАЗАНЬ ,Казань,Образовательный проект,5,0.949,0.079,5
ngo_extra_0026,Благотворительный фонд «Неравнодушные», НОВОСИБИРСК ,Новосибирск,Благотворительный фонд,15,0.81,0.053,6
ngo_extra_0027,Благотворительный фонд «Горизонт»,Уфа,Уфа,Благотворительный фонд,3,0.677,0.003,7
ngo_extra_0028,Образовательный проект «Цифровое поколение»,Нижний Новгород,Нижний Новгород,Образовательный проект,12,0.908,0.06,5
ngo_extra_0029,АНО «Практика добра»,Красноярск,Красноярск,Некоммерческая организация,8,0.811,0.046,4
ngo_extra_0030,Инициатива «Помощь без бюрократии»,Воронеж,Воронеж,Социальная инициатива,19,0.48,0.066,7
ngo_extra_0031,Центр добровольчества «Иркутские волонтёры»,Уфа,Уфа,Волонтёрский центр,6,0.62,0.043,4
ngo_extra_0032,АНО «Свобода передвижения», МОСКВА ,Москва,Некоммерческая организация,5,0.733,0.064,3
ngo_extra_0033,Центр добровольчества «Пермские волонтёры»,Уфа,Уфа,Волонтёрский центр,9,0.897,0.097,1
ngo_extra_0034,Просветительский проект «Наука о добре», КАЗАНЬ ,Казань,Образовательный проект,14,0.662,0.013,2
ngo_extra_0035,Благотворительный фонд «Добрый берег», ЕКАТЕРИНБУРГ ,Екатеринбург,Благотворительный фонд,13,0.867,0.07,3
ngo_extra_0036,Просветительская программа «Здоровая деревня»,Казань,Казань,Образовательный проект,8,0.817,0.117,2
ngo_extra_0037,Инициатива «Экологическая субботка»,Пермь,Пермь,Социальная инициатива,21,0.759,0.065,1
ngo_extra_0038,Центр добровольчества «Астраханские волонтёры»,Омск,Омск,Волонтёрский центр,14,0.891,0.131,3
ngo_extra_0039,Просветительский центр «Будущее рядом»,Нижний Новгород,Нижний Новгород,Образовательный проект,12,0.768,0.03,6
ngo_extra_0040,Просветительский центр «Экопросвещение»,Воронеж,Воронеж,Образовательный проект,13,0.93,0.052,8
ngo_extra_0041,Просветительский проект «Дети учат детей»,Волгоград,Волгоград,Образовательный проект,11,0.86,0.301,7
ngo_extra_0042,Образовательный центр «Активный гражданин»,Воронеж,Воронеж,Образовательный проект,5,0.456,0.259,3
ngo_extra_0043,Образовательная инициатива «Молодёжный актив»,Красноярск,Красноярск,Образовательный проект,8,0.838,0.142,5
ngo_extra_0044,Центр добровольчества «Активный гражданин»,Ростов-на-Дону,Ростов-на-Дону,Волонтёрский центр,17,0.648,0.015,1
ngo_extra_0045,Социальная инициатива «Скорая социальная помощь»,Челябинск,Челябинск,Социальная инициатива,12,0.558,0.125,8
ngo_extra_0046,Центр добровольчества «Рязанские волонтёры»,Красноярск,Красноярск,Волонтёрский центр,7,0.961,0.068,3
ngo_extra_0047,Благотворительный фонд «Местный герой», НОВОСИБИРСК ,Новосибирск,Благотворительный фонд,17,0.764,0.012,1
ngo_extra_0048,Образовательный центр «Знание и действие»,Уфа,Уфа,Образовательный проект,20,0.891,0.027,0
ngo_extra_0049,Инициатива «Лекарства для пожилых»,Красноярск,Красноярск,Социальная инициатива,35,0.964,0.009,7
ngo_extra_0050,Благотворительный фонд «Территория добра», НОВОСИБИРСК ,Новосибирск,Благотворительный фонд,38,0.832,0.121,8
ngo_extra_0051,Просветительский центр «Рядом с природой»,Казань,Казань,Образовательный проект,11,0.81,0.077,2
ngo_extra_0052,Социальная инициатива «Дрова для деревни»,Самара,Самара,Социальная инициатива,13,0.804,0.07,3
ngo_extra_0053,Волонтёрский центр «Ставропольские добровольцы»,Омск,Омск,Волонтёрский центр,18,0.568,0.021,0
ngo_extra_0054,Волонтёрский центр «Ивановские добровольцы»,Омск,Омск,Волонтёрский центр,20,0.824,0.065,2
ngo_extra_0055,Центр добровольчества «Курские волонтёры»,Красноярск,Красноярск,Волонтёрский центр,15,0.81,0.143,3
ngo_extra_0056,Центр добровольчества «Брянские волонтёры»,Омск,Омск,Волонтёрский центр,3,0.529,0.064,6
ngo_extra_0057,Социальная инициатива «Психологическая помощь онлайн»,Челябинск,Челябинск,Социальная инициатива,19,0.797,0.154,5
ngo_extra_0058,Волонтёрский центр «Краснодарские добровольцы»,Ростов-на-Дону,Ростов-на-Дону,Волонтёрский центр,17,0.527,0.029,3
ngo_extra_0059,Центр добровольчества «Кировские волонтёры»,Волгоград,Волгоград,Волонтёрский центр,9,0.794,0.005,0
ngo_extra_0060,Социальная инициатива «Бесплатная юридическая консультация»,Воронеж,Воронеж,Социальная инициатива,14,0.689,0.043,0
ngo_extra_0061,Образовательная инициатива «Среда обитания»,Нижний Новгород,Нижний Новгород,Образовательный проект,3,0.498,0.027,8
ngo_extra_0062,Благотворительный фонд «Поддержка семьи»,Екатеринбург,Екатеринбург,Благотворительный фонд,11,0.855,0.144,3
ngo_extra_0063,Фонд «Равный доступ», ЕКАТЕРИНБУРГ ,Екатеринбург,Благотворительный фонд,19,0.914,0.09,7
ngo_extra_0064,Волонтёрский центр «Ярославские добровольцы»,Пермь,Пермь,Волонтёрский центр,22,0.735,0.247,2
ngo_extra_0065,Образовательный проект «Социальный навигатор»,Казань,Казань,Образовательный проект,7,0.902,0.059,1
ngo_extra_0066,Волонтёрский центр «Орёл добра»,Воронеж,Воронеж,Волонтёрский центр,12,0.855,0.052,4
ngo_extra_0067,Образовательный проект «Профессия — помогать», КАЗАНЬ ,Казань,Образовательный проект,17,0.584,0.053,8
ngo_extra_0068,Просветительская инициатива «Право знать»,Волгоград,Волгоград,Образовательный проект,8,0.794,0.055,4
ngo_extra_0069,Образовательный центр «Практика добра», КАЗАНЬ ,Казань,Образовательный проект,10,0.89,0.008,7
ngo_extra_0070,Центр добровольчества «Помоги рядом»,Ростов-на-Дону,Ростов-на-Дону,Волонтёрский центр,30,0.652,0.054,4
ngo_extra_0071,АНО «Рядом», САНКТ-ПЕТЕРБУРГ ,Санкт-Петербург,Некоммерческая организация,8,0.337,0.126,6
ngo_extra_0072,Благотворительный фонд «Надежда и жизнь»,Уфа,Уфа,Благотворительный фонд,8,0.69,0.035,0
ngo_extra_0073,Фонд «Помощь людям в беде», ЕКАТЕРИНБУРГ ,Екатеринбург,Благотворительный фонд,8,0.573,0.071,2
ngo_extra_0074,Фонд «Чистое будущее», НОВОСИБИРСК ,Новосибирск,Благотворительный фонд,19,0.537,0.009,3
ngo_extra_0075,Волонтёрский центр «Добровольчество Юга»,Уфа,Уфа,Волонтёрский центр,18,0.692,0.002,5
ngo_extra_0076,Волонтёрский центр «Барнаульские добровольцы»,Ростов-на-Дону,Ростов-на-Дону,Волонтёрский центр,8,0.835,0.076,3
ngo_extra_0077,Центр добровольчества «Читинские волонтёры»,Воронеж,Воронеж,Волонтёрский центр,8,0.577,0.068,1
ngo_extra_0078,Образовательный проект «Гражданская грамотность», КАЗАНЬ ,Казань,Образовательный проект,26,0.839,0.043,2
ngo_extra_0079,Образовательная платформа «Онлайн-наставник»,Воронеж,Воронеж,Образовательный проект,14,0.774,0.028,6
ngo_extra_0080,Фонд «Безопасная среда»,Волгоград,Волгоград,Благотворительный фонд,4,0.73,0.116,3
ngo_extra_0081,Фонд «Второй шанс»,Уфа,Уфа,Благотворительный фонд,23,0.945,0.058,6
ngo_extra_0082,АНО «Пространство поддержки»,Уфа,Уфа,Некоммерческая организация,4,0.828,0.133,5
ngo_extra_0083,АНО «Местное сообщество»,Красноярск,Красноярск,Некоммерческая организация,17,0.786,0.024,6
ngo_extra_0084,Инициатива «Поддержка трудовых мигрантов»,Челябинск,Челябинск,Социальная инициатива,11,0.989,0.114,4
ngo_extra_0085,Социальная инициатива «Добрые руки»,Волгоград,Волгоград,Социальная инициатива,9,0.555,0.171,4
ngo_extra_0086,АНО «Помощь рядом», САНКТ-ПЕТЕРБУРГ ,Санкт-Петербург,Некоммерческая организация,11,0.894,0.029,3
ngo_extra_0087,Волонтёрский центр «Сибирское добро»,Омск,Омск,Волонтёрский центр,7,0.889,0.181,7
ngo_extra_0088,Благотворительный фонд «Весна», НОВОСИБИРСК ,Новосибирск,Благотворительный фонд,15,0.691,0.214,7
ngo_extra_0089,Благотворительный фонд «Открытое сердце», ЕКАТЕРИНБУРГ ,Екатеринбург,Благотворительный фонд,13,0.624,0.04,3
ngo_extra_0090,Центр добровольчества «Томские волонтёры»,Омск,Омск,Волонтёрский центр,9,0.833,0.335,1
ngo_extra_0091,Благотворительный фонд «Здоровый регион»,Пермь,Пермь,Благотворительный фонд,9,0.425,0.013,1
ngo_extra_0092,Просветительский проект «Финансовая осознанность»,Казань,Казань,Образовательный проект,21,0.626,0.084,8
ngo_extra_0093,Образовательная инициатива «Живые знания», КАЗАНЬ ,Казань,Образовательный проект,11,0.743,0.141,3
ngo_extra_0094,АНО «Территория заботы», МОСКВА ,Москва,Некоммерческая организация,6,0.859,0.034,7
ngo_extra_0095,Благотворительный фонд «Живая книга», ЕКАТЕРИНБУРГ ,Екатеринбург,Благотворительный фонд,10,0.815,0.052,0
ngo_extra_0096,АНО «Равные возможности»,Красноярск,Красноярск,Некоммерческая организация,14,0.865,0.025,2
ngo_extra_0097,Волонтёрский центр «Смоленское добро»,Омск,Омск,Волонтёрский центр,4,0.883,0.032,7
ngo_extra_0098,АНО «Доступный мир», САНКТ-ПЕТЕРБУРГ ,Санкт-Петербург,Некоммерческая организация,11,0.796,0.098,4
ngo_extra_0099,Просветительский центр «Умные соседи»,Красноярск,Красноярск,Образовательный проект,8,0.731,0.017,6
ngo_extra_0100,АНО «Живой диалог»,Москва,Москва,Некоммерческая организация,4,0.973,0.041,5
ngo_extra_0101,АНО «Точка опоры»,Уфа,Уфа,Некоммерческая организация,16,0.828,0.12,0
ngo_extra_0102,Инициатива «Открытое хранилище вещей»,Воронеж,Воронеж,Социальная инициатива,11,0.566,0.067,3
ngo_extra_0103,Просветительский проект «Шаги к знанию»,Нижний Новгород,Нижний Новгород,Образовательный проект,4,0.943,0.013,1
ngo_extra_0104,Фонд «Детский берег», НОВОСИБИРСК ,Новосибирск,Благотворительный фонд,10,0.925,0.003,6
ngo_extra_0105,Центр гражданского образования «Азбука участия», КАЗАНЬ ,Казань,Образовательный проект,11,0.771,0.106,0
ngo_extra_0106,Социальная инициатива «Бесплатные обеды»,Самара,Самара,Социальная инициатива,11,0.795,0.06,2
ngo_extra_0107,АНО «Общее дело», МОСКВА ,Москва,Некоммерческая организация,5,0.533,0.112,7
ngo_extra_0108,Просветительский проект «Диалог поколений», КАЗАНЬ ,Казань,Образовательный проект,15,0.706,0.016,4
ngo_extra_0109,АНО «Солидарность», МОСКВА ,Москва,Некоммерческая организация,10,0.495,0.089,7
ngo_extra_0110,Благотворительный фонд «Паруса надежды»,Волгоград,Волгоград,Благотворительный фонд,15,0.716,0.043,6
ngo_extra_0111,Образовательная программа «Живи активно»,Красноярск,Красноярск,Образовательный проект,6,0.92,0.015,0
ngo_extra_0112,Просветительский проект «Добро в школу», КАЗАНЬ ,Казань,Образовательный проект,9,0.567,0.007,6
ngo_extra_0113,АНО «Близко к людям», САНКТ-ПЕТЕРБУРГ ,Санкт-Петербург,Некоммерческая организация,21,0.847,0.09,7
ngo_extra_0114,АНО «Открытая среда», МОСКВА ,Москва,Некоммерческая организация,28,0.504,0.05,8
ngo_extra_0115,Социальная инициатива «Экоквартал»,Самара,Самара,Социальная инициатива,12,0.81,0.119,4
ngo_extra_0116,Просветительский проект «Буду специалистом»,Волгоград,Волгоград,Образовательный проект,5,0.863,0.064,3
ngo_extra_0117,Образовательный центр «Путь к профессии»,Уфа,Уфа,Образовательный проект,9,0.831,0.069,7
ngo_extra_0118,АНО «Связующее звено», МОСКВА ,Москва,Некоммерческая организация,21,0.894,0.046,5
ngo_extra_0119,Социальная инициатива «Детская почта доверия»,Уфа,Уфа,Социальная инициатива,4,0.928,0.077,1
